team;transfermarkt_id;shirt_number;player_name;position;birth_date;age;club;height_cm;foot;international_caps;international_goals;debut_date;market_value;transfermarkt_url
Spagna;553875;12;Pedro Porro;Terzino destro;13/09/1999;26;Tottenham Hotspur;1,73m;destro;17;-;28/03/2021;35,00 mln €;https://www.transfermarkt.com/pedro-porro/profil/spieler/553875
Spagna;561613;13;Joan García;Portiere;04/05/2001;25;FC Barcellona;1,94m;destro;2;-;31/03/2026;45,00 mln €;https://www.transfermarkt.com/joan-garcia/profil/spieler/561613
Spagna;176553;14;Aymeric Laporte;Difensore centrale;27/05/1994;32;Athletic Bilbao;1,91m;sinistro;45;2;04/06/2021;8,00 mln €;https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553
Spagna;548111;15;Álex Baena;Ala sinistra;20/07/2001;24;Atlético de Madrid;1,72m;destro;16;2;12/09/2023;40,00 mln €;https://www.transfermarkt.com/alex-baena/profil/spieler/548111
Spagna;357565;16;Rodri;Mediano;22/06/1996;29;Manchester City;1,90m;destro;61;4;23/03/2018;50,00 mln €;https://www.transfermarkt.com/rodri/profil/spieler/357565
Spagna;709187;17;Nico Williams;Ala sinistra;12/07/2002;23;Athletic Bilbao;1,81m;destro;30;6;24/09/2022;40,00 mln €;https://www.transfermarkt.com/nico-williams/profil/spieler/709187
Spagna;423440;18;Martín Zubimendi;Mediano;02/02/1999;27;FC Arsenal;1,81m;destro;25;3;08/06/2021;75,00 mln €;https://www.transfermarkt.com/martin-zubimendi/profil/spieler/423440
Spagna;937958;19;Lamine Yamal;Ala destra;13/07/2007;18;FC Barcellona;1,83m;sinistro;25;6;08/09/2023;200,00 mln €;https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958
Spagna;683840;20;Pedri;Centrocampista;25/11/2002;23;FC Barcellona;1,74m;destro;40;5;25/03/2021;150,00 mln €;https://www.transfermarkt.com/pedri/profil/spieler/683840
Spagna;351478;21;Mikel Oyarzabal;Punta centrale;21/04/1997;29;Real Sociedad;1,81m;sinistro;52;24;29/05/2016;25,00 mln €;https://www.transfermarkt.com/mikel-oyarzabal/profil/spieler/351478
